# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Nov 01 12:06:39 EST 2020 [seed=1604250361473]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-3282.4891097209065	-613.2000398926587	-2669.2890698282476	97.95058990207374	1910.0494100979263	552.1715856912062	30.493410404602983	4.91	1.0E-8	1.0000000000000004E-8	-2669.2890698282476	0.0	-376.67879039920314
1000	-3112.451238464596	-646.1302326615375	-2466.321005803058	193.0631187657562	1814.9368812342439	977.9457924365081	39.94329951755479	3.010483676732879	1.5765525804371339E-7	1.5765525804371344E-7	-2466.321005803058	0.0	-409.93674372479893
2000	-2995.922827705688	-641.7532521022775	-2354.1695756034105	190.13158727113267	1817.8684127288673	953.8114640841707	53.57010174824322	2.951949070808794	1.0550500241600954E-6	1.0550500241600963E-6	-2354.1695756034105	0.0	-405.2870277680417
3000	-2862.328294842169	-638.7190543961636	-2223.609240446005	173.14021576762698	1834.859784232373	899.526292919948	42.41728927435476	2.918854879967798	1.0488492890002215E-5	1.0488492890002218E-5	-2223.609240446005	0.0	-402.49809376444415
4000	-2810.0723617215936	-642.794708544126	-2167.2776531774675	200.5889614641625	1807.4110385358374	955.2880342474808	55.61885063933822	3.6359755770991837	6.556651033962335E-5	6.556651033962337E-5	-2167.2776531774675	0.0	-406.05764241397856
5000	-2801.762309784464	-635.3440750728887	-2166.418234711575	136.8218820552234	1871.1781179447767	731.9648777496816	41.075697226006035	2.898469875031774	8.344984336190286E-5	8.344984336190293E-5	-2166.418234711575	0.0	-399.1625658571764
6000	-2805.338041600986	-645.6425625497533	-2159.6954790512327	146.59641287704187	1861.403587122958	770.8826172908051	53.62565655664419	4.027131461672099	6.554946680507703E-5	6.554946680507702E-5	-2159.6954790512327	0.0	-408.8174518736551
7000	-2799.3605195945133	-642.7566389745795	-2156.603880619934	110.42462451397914	1897.575375486021	683.8459542454382	45.58611696517652	3.8839644378013682	7.495498697782317E-5	7.495498697782319E-5	-2156.603880619934	0.0	-406.13883710312604
8000	-2800.164718794608	-629.6573144062651	-2170.507404388343	144.46584732890307	1863.534152671097	713.7295800144416	44.10037579499927	3.362131271586858	7.397138822054406E-5	7.397138822054405E-5	-2170.507404388343	0.0	-393.24321942591797
9000	-2794.90251312066	-630.568693857323	-2164.333819263337	122.995271936725	1885.004728063275	663.7711373930639	44.75995319904618	4.5279968726190685	7.923164698350246E-5	7.923164698350251E-5	-2164.333819263337	0.0	-393.7731856824707
10000	-2797.3504560750266	-629.534548262263	-2167.8159078127637	88.2032273392695	1919.7967726607305	554.7788629134662	50.044653890023746	4.396471427677346	9.301009148234444E-5	9.301009148234445E-5	-2167.8159078127637	0.0	-392.66626425913495
11000	-2790.9360847000576	-621.7666991224586	-2169.169385577599	89.55933270039586	1918.4406672996042	550.4758592532426	31.75285078093281	4.917165766190199	1.0236982014254704E-4	1.0236982014254704E-4	-2169.169385577599	0.0	-385.20296682241167
12000	-2796.5607434613657	-629.2906864564987	-2167.270057004867	100.01081252866108	1907.989187471339	618.392163416169	42.525959053134706	6.556014529060176	9.944232701392196E-5	9.944232701392205E-5	-2167.270057004867	0.0	-392.0115738215801
13000	-2796.206139629346	-628.2288445443592	-2167.977295084987	119.47678018988724	1888.5232198101128	613.277319622883	39.8802156650462	5.323025125551154	8.061599338717962E-5	8.06159933871797E-5	-2167.977295084987	0.0	-391.3258061862637
14000	-2794.203585933366	-627.508974957219	-2166.694610976147	115.71687518281956	1892.2831248171804	607.2409322440898	45.50769352324806	4.093383563423417	9.141968222521831E-5	9.141968222521832E-5	-2166.694610976147	0.0	-390.82750295388155
15000	-2792.5792448064176	-630.0779397816831	-2162.5013050247344	110.52688521696456	1897.4731147830355	627.8102047976868	49.65634982735701	3.143161509744365	8.875993146914011E-5	8.87599314691401E-5	-2162.5013050247344	0.0	-393.62024369870227
16000	-2797.1942469857713	-627.0597778735906	-2170.134469112181	113.34284388985267	1894.6571561101473	620.3428706505443	44.75236042752008	2.927283237743344	7.890131025433039E-5	7.890131025433037E-5	-2170.134469112181	0.0	-390.78221166616527
17000	-2808.6029725990425	-639.4884173969945	-2169.114555202048	128.93864017732102	1879.061359822679	690.0996430980343	39.9456232881607	4.3537524599595105	8.566981563307895E-5	8.566981563307894E-5	-2169.114555202048	0.0	-402.8582681862254
18000	-2796.7991918675352	-629.5613035673472	-2167.237888300188	81.2862210981115	1926.7137789018884	547.3628982935791	40.279451977289696	5.119890226963168	8.521202728928881E-5	8.521202728928885E-5	-2167.237888300188	0.0	-392.70346335609685
19000	-2797.961555200734	-632.4483512383539	-2165.51320396238	77.96031361477866	1930.0396863852213	550.6378808614597	42.622006763351095	2.4576328705634563	9.540265860069075E-5	9.54026586006908E-5	-2165.51320396238	0.0	-396.39293901230013
20000	-2795.781484869494	-630.0144845659024	-2165.7670003035914	90.38072650652892	1917.6192734934712	572.9358295669855	44.482967020850495	3.054842196971784	8.161177447164395E-5	8.161177447164395E-5	-2165.7670003035914	0.0	-393.69769876075685
21000	-2798.5921211209006	-632.2793467032648	-2166.312774417636	91.20246739013395	1916.797532609866	608.8612184897922	42.09588327261257	4.001009662834	1.0294643674477239E-4	1.0294643674477245E-4	-2166.312774417636	0.0	-395.7044447394191
22000	-2809.0122991431663	-642.6048700861804	-2166.407429056986	117.91393005096455	1890.0860699490354	715.6056976106008	44.85543790600599	5.4565720979367125	8.32704252838388E-5	8.327042528383882E-5	-2166.407429056986	0.0	-405.5486341627661
23000	-2807.324789128779	-630.9548132016484	-2176.3699759271303	105.50720136245815	1902.492798637542	612.7335619648366	40.039120739712565	5.533962631894548	8.840333291745123E-5	8.840333291745124E-5	-2176.3699759271303	0.0	-393.991737596435
24000	-2810.7043411503514	-644.240317417799	-2166.4640237325525	107.94663842806298	1900.053361571937	657.1038137694396	53.04774737209515	4.714401715415238	8.417693951406732E-5	8.417693951406731E-5	-2166.4640237325525	0.0	-407.22089253937287
25000	-2816.4864960172636	-651.1949130779216	-2165.291582939342	81.93321569119243	1926.0667843088077	637.5626511376826	56.18399422068682	4.349431477254439	7.598467795582041E-5	7.598467795582044E-5	-2165.291582939342	0.0	-414.2249430570622
26000	-2826.497184743149	-658.5063696324846	-2167.9908151106642	78.6528343348219	1929.3471656651782	652.3076454423123	78.1220294545056	3.1960901646235573	8.471001523956245E-5	8.471001523956244E-5	-2167.9908151106642	0.0	-421.57718728350454
27000	-2825.002638192319	-659.9614841255581	-2165.041154066761	95.82856164574139	1912.1714383542585	719.3628590331185	64.99132804404654	3.5183589760746155	8.657928854249232E-5	8.657928854249225E-5	-2165.041154066761	0.0	-423.10734461269664
28000	-2812.2234478738815	-650.5422160949411	-2161.6812317789404	143.35819412993675	1864.6418058700633	788.3774274802058	60.87085302227278	5.380515953923374	7.149709840110417E-5	7.149709840110418E-5	-2161.6812317789404	0.0	-413.20090378720323
29000	-2812.2176044280545	-652.3307489314057	-2159.886855496649	137.8473287692374	1870.1526712307625	813.9106692837386	47.909321065845496	6.685437617293648	6.700196290652206E-5	6.700196290652211E-5	-2159.886855496649	0.0	-414.9017551527561
30000	-2811.376826386684	-642.8476556644353	-2168.5291707222486	116.06663708071444	1891.9333629192856	740.226402400127	43.75800007104969	6.048006089209536	6.624639132652341E-5	6.624639132652341E-5	-2168.5291707222486	0.0	-405.66400008981134
31000	-2823.225460603506	-650.9389671987938	-2172.286493404712	107.62368285241912	1900.376317147581	749.5273674271186	46.288084273522884	4.4954259820067906	6.754790676198091E-5	6.754790676198094E-5	-2172.286493404712	0.0	-414.1194484793599
32000	-2818.8331999343427	-652.2499853569849	-2166.583214577358	103.55422885585968	1904.4457711441403	752.5700165232123	53.09689509765644	4.356655220165841	5.323814350725633E-5	5.323814350725633E-5	-2166.583214577358	0.0	-415.33436923065165
33000	-2801.2146059847	-634.9694074807795	-2166.2451985039206	114.56158117004905	1893.438418829951	699.2779130615194	52.44082249049476	2.59326356226881	8.960687045486659E-5	8.960687045486664E-5	-2166.2451985039206	0.0	-398.6555042340515
34000	-2790.384479752616	-624.3458361818494	-2166.0386435707665	92.53599463454346	1915.4640053654566	604.8002479366039	37.90978991600115	4.413736415811726	8.50641405220335E-5	8.506414052203355E-5	-2166.0386435707665	0.0	-387.75012821299333
35000	-2800.022534454886	-631.7095302266525	-2168.3130042282337	91.113944598845	1916.886055401155	618.986081576233	32.793558224504146	4.860700461261264	8.452461160277453E-5	8.45246116027745E-5	-2168.3130042282337	0.0	-395.12943677481394
