# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Nov 22 13:05:05 EST 2020 [seed=1606068241240]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-151006.46400309767	-780.5069818222807	-150225.9570212754	998.3755950340368	1021.6244049659632	8837.022121455291	975.5329477890155	10.0	1.0E-8	9.999999999999999E-9	-150225.9570212754	0.0	-769.6363777641546
1000	-148306.4398015421	-827.2357216377919	-147479.2040799043	1814.9488630678943	205.0511369321057	14160.947809419926	1502.7299487286728	8.599661350021591	2.696510807075646E-7	2.696510807075646E-7	-147479.2040799043	0.0	-816.2024088115735
2000	-148056.85331353554	-826.7824539539017	-147230.07085958164	1707.3714323907063	312.62856760929367	13300.27982522335	1464.2317632677573	8.627104185930383	6.622173684994975E-7	6.622173684994976E-7	-147230.07085958164	0.0	-815.7695556610483
3000	-148035.74805582908	-822.9181255525303	-147212.82993027655	1594.9950949768677	425.0049050231323	12917.07099729788	1393.9290688471215	7.731762246071056	6.357044089850611E-7	6.357044089850612E-7	-147212.82993027655	0.0	-812.1411510180799
4000	-148024.9650396293	-818.4818094129942	-147206.48323021628	1507.4656787300196	512.5343212699804	12290.48454090145	1199.0573719815716	8.092559079682552	7.66949083719439E-7	7.66949083719439E-7	-147206.48323021628	0.0	-807.7786390275522
5000	-148025.27959613357	-822.193919769704	-147203.08567636387	1567.5059414016253	452.49405859837475	12337.538144144179	1124.9780869867516	7.618449415969263	7.037140938480182E-7	7.037140938480179E-7	-147203.08567636387	0.0	-811.6558795504757
6000	-148019.8833762243	-821.488303932912	-147198.39507229137	1480.3975202906768	539.6024797093232	12117.11009847611	1291.0716756132547	7.989598900522725	7.086965215768348E-7	7.086965215768347E-7	-147198.39507229137	0.0	-810.7328888122779
7000	-147999.79521010662	-806.7294537597303	-147193.06575634688	1412.0082973321908	607.9917026678092	11052.217477417711	1081.7447759680788	8.141759142550528	7.95178012920759E-7	7.951780129207584E-7	-147193.06575634688	0.0	-796.1189387823072
8000	-148000.22787620864	-809.7705344599383	-147190.4573417487	1329.6878118758043	690.3121881241957	10816.256623170726	1202.088160170468	8.883645657620432	7.603717176238284E-7	7.603717176238284E-7	-147190.4573417487	0.0	-798.9036695437975
9000	-148003.84201857116	-806.81306557857	-147197.02895299258	1338.7931757753106	681.2068242246894	10756.869333332925	1191.7747449750027	9.055245337702827	8.112582244269816E-7	8.112582244269817E-7	-147197.02895299258	0.0	-795.9210677272945
10000	-147990.72026598363	-798.4833488158887	-147192.23691716776	1173.9387255908694	846.0612744091306	9870.036936046105	970.8256016298293	7.9635524159881035	8.612939403651445E-7	8.612939403651448E-7	-147192.23691716776	0.0	-788.0185297097885
11000	-147979.92035430987	-798.0817329393606	-147181.83862137052	1195.957830256224	824.042169743776	10019.819499452353	1060.6920513169703	8.483555135680824	8.715696433964865E-7	8.715696433964864E-7	-147181.83862137052	0.0	-787.4203350555618
12000	-147984.74329729774	-797.6341967435897	-147187.10910055414	1151.443110258843	868.556889741157	9809.814093847983	1250.1806324251452	9.048414186913314	9.426620882945963E-7	9.426620882945968E-7	-147187.10910055414	0.0	-786.6956899833796
13000	-147999.30525205194	-802.5506323839791	-147196.75461966798	1285.7482877003595	734.2517122996405	10443.697804494246	920.6619301015614	7.771081415505247	7.498164978507887E-7	7.49816497850788E-7	-147196.75461966798	0.0	-792.1799721906584
14000	-147993.9431065325	-799.9427750012718	-147194.00033153122	1171.9999489241238	848.0000510758762	10109.836363849778	1276.4512008508614	7.96455124575537	8.487492391443987E-7	8.487492391443987E-7	-147194.00033153122	0.0	-789.2040520464265
15000	-148000.88646095834	-810.5150685715881	-147190.37139238676	1182.2521278551421	837.7478721448579	10659.374299273559	1370.222639149498	8.79287466215137	7.855905317865615E-7	7.855905317865615E-7	-147190.37139238676	0.0	-799.5353109757036
16000	-147996.77129399256	-805.705562180326	-147191.06573181224	1296.20348690015	723.79651309985	10931.101703397417	1158.5192908894016	6.984685076344116	7.914386320179658E-7	7.914386320179655E-7	-147191.06573181224	0.0	-795.279867079533
17000	-147994.2072598215	-801.4236817279653	-147192.78357809354	1430.1450243609431	589.8549756390569	11062.793806801265	1178.8833820147338	7.414387273679017	7.410737603028855E-7	7.410737603028856E-7	-147192.78357809354	0.0	-790.8836595357168
18000	-147995.51955911782	-802.7564549403528	-147192.76310417746	1252.2604944195677	767.7395055804323	10569.01217576301	1043.6605615873593	8.290211213222722	7.666535312791716E-7	7.666535312791715E-7	-147192.76310417746	0.0	-792.1509212185626
19000	-148007.4122475896	-807.7681990259478	-147199.64404856364	1301.974530530354	718.0254694696459	10728.453810285064	1196.5623797793257	7.825834612462033	8.176602357295126E-7	8.176602357295122E-7	-147199.64404856364	0.0	-797.1236668022647
20000	-148004.63307133908	-802.817755316186	-147201.8153160229	1196.065907585053	823.9340924149469	10424.914528513798	1043.6486345977523	7.5505232622448775	8.266098110180767E-7	8.266098110180774E-7	-147201.8153160229	0.0	-792.3695930556275
21000	-148001.22315216306	-800.7941819969557	-147200.4289701661	1240.7826524347215	779.2173475652785	10473.099207651505	983.477524732751	8.601400906184224	8.33910827847386E-7	8.339108278473859E-7	-147200.4289701661	0.0	-790.1844611579803
22000	-148000.19861386128	-808.1396872050432	-147192.05892665623	1280.0983061406357	739.9016938593643	11050.63491023024	1006.8494939859154	7.322512566086749	7.957457579068967E-7	7.957457579068973E-7	-147192.05892665623	0.0	-797.7778329486558
23000	-147997.831624568	-807.7268390413246	-147190.10478552667	1285.4331802535169	734.5668197464831	10952.340309111441	1166.7236316631688	8.460906155449871	7.548102628854125E-7	7.548102628854123E-7	-147190.10478552667	0.0	-796.9747816314919
24000	-148004.80331893216	-808.5462742942703	-147196.2570446379	1515.371673378599	504.6283266214009	11488.136831511118	1035.8746544209505	7.54036556967923	7.968409889596285E-7	7.968409889596288E-7	-147196.2570446379	0.0	-798.107814608984
25000	-147998.6233079709	-807.924741268867	-147190.69856670205	1287.5875813108473	732.4124186891527	10951.503807674928	1288.8056531773334	9.89679479691503	7.431906038538482E-7	7.431906038538479E-7	-147190.69856670205	0.0	-796.7946373541275
26000	-148006.02119031228	-806.6049653071091	-147199.41622500517	1309.0460561580212	710.9539438419788	10930.960090232757	1174.854632527523	9.683224374904041	7.689042788583939E-7	7.68904278858394E-7	-147199.41622500517	0.0	-795.6071387502536
27000	-148003.82220649146	-807.9673051391353	-147195.85490135232	1225.0149499918323	794.9850500081677	10702.457179962814	1303.7408646788977	8.888256750556753	7.613908934446955E-7	7.613908934446963E-7	-147195.85490135232	0.0	-797.0183503871558
28000	-147993.24299917815	-807.0702790855726	-147186.17272009258	1266.1400402665436	753.8599597334564	10733.867677634345	1022.7218962264784	8.888256750556753	8.063237047941171E-7	8.063237047941169E-7	-147186.17272009258	0.0	-796.3640944101957
29000	-148009.3223245352	-810.21503502938	-147199.10728950583	1290.5710979211742	729.4289020788258	10895.756192164441	1217.5644797737698	7.68334705750125	8.046952131202885E-7	8.046952131202878E-7	-147199.10728950583	0.0	-799.5838055874922
30000	-148024.4266835399	-814.9009589999594	-147209.52572453994	1456.3437625765825	563.6562374234175	11817.105210882553	1319.2154195967928	7.9035408639344364	7.169944770531596E-7	7.169944770531595E-7	-147209.52572453994	0.0	-804.1422440713783
31000	-148018.8925316002	-814.0269978873386	-147204.86553371287	1251.73924385003	768.2607561499699	11297.701309433645	1245.2890470188638	9.480984344693915	7.681379106788396E-7	7.681379106788396E-7	-147204.86553371287	0.0	-803.0090732638239
32000	-148000.36174800334	-814.9307473485409	-147185.4310006548	1406.6850992752188	613.3149007247812	11785.568470028209	1333.9089015986626	8.704308455600291	7.187882032036947E-7	7.187882032036939E-7	-147185.4310006548	0.0	-803.9955462397728
33000	-148011.02679213104	-817.8325156356595	-147193.19427649537	1460.5742351862102	559.4257648137898	11998.595055298743	1417.9357163793268	8.511135793691343	6.991111779874381E-7	6.991111779874385E-7	-147193.19427649537	0.0	-806.875223983734
34000	-148001.78163254444	-813.6262708268662	-147188.15536171757	1451.7376651921968	568.2623348078032	11941.87915764132	1066.4799948568598	7.953704199752301	7.300103893822464E-7	7.300103893822455E-7	-147188.15536171757	0.0	-803.069568104329
35000	-148008.7796409215	-813.3513307742511	-147195.42831014725	1414.8014478085238	605.1985521914762	11727.001419385571	1389.0667831791752	8.25712761050547	7.117133427689728E-7	7.117133427689734E-7	-147195.42831014725	0.0	-802.4667464605958
36000	-148002.27406484002	-809.4090336874708	-147192.86503115256	1417.9395361123222	602.0604638876778	11524.253434039758	1220.9408237716857	8.199152480809506	6.93107190032458E-7	6.931071900324581E-7	-147192.86503115256	0.0	-798.6655002320023
37000	-148011.55884646054	-813.3093998362189	-147198.2494466243	1532.4004776405768	487.5995223594232	12146.988892283991	1135.6738695212257	8.266841382815418	7.455010342136971E-7	7.455010342136968E-7	-147198.2494466243	0.0	-802.6242092364248
38000	-148009.57498062402	-817.09737190874	-147192.47760871527	1499.1389650890796	520.8610349109204	11965.68358569392	1465.393997944246	8.220683455773548	7.089765832804147E-7	7.089765832804152E-7	-147192.47760871527	0.0	-806.166858213664
39000	-147996.55412248638	-813.3957233530322	-147183.15839913336	1334.3035474440292	685.6964525559708	11529.99154276387	1183.5567210534969	8.31607747966492	7.41121323963848E-7	7.411213239638477E-7	-147183.15839913336	0.0	-802.6590583542403
40000	-147999.77722591808	-809.1642768921347	-147190.61294902593	1244.2589619560417	775.7410380439583	11113.120851173893	1160.9741659269675	7.318395911443124	7.92001034285688E-7	7.920010342856883E-7	-147190.61294902593	0.0	-798.6609082277027
41000	-147993.8778614868	-803.6362471336248	-147190.24161435317	1261.990238568699	758.0097614313011	10730.750984753016	945.8056177143469	8.522641487628613	8.072059985816919E-7	8.072059985816912E-7	-147190.24161435317	0.0	-793.08153733915
42000	-147991.54936489096	-803.6236811239228	-147187.92568376704	1276.3967922362308	743.6032077637692	10819.323272082584	1103.892669346759	7.981497403585179	8.062472542422932E-7	8.062472542422925E-7	-147187.92568376704	0.0	-793.0266100315778
43000	-147997.56843031567	-807.2838764878736	-147190.2845538278	1368.1029043645485	651.8970956354515	11433.961152553476	1050.6691464483724	8.22547888847584	7.613428850013818E-7	7.613428850013813E-7	-147190.2845538278	0.0	-796.6850633345139
44000	-147997.46003340415	-813.2479014622273	-147184.21213194192	1409.531093799223	610.4689062007769	11679.598757269645	1399.477395928759	8.895799980387173	7.136124102563671E-7	7.13612410256367E-7	-147184.21213194192	0.0	-802.2265938408945
45000	-147996.5826067207	-814.343008386859	-147182.23959833384	1408.4373698048994	611.5626301951006	11817.453642475628	1337.8203781476302	8.266519489428836	6.872169549945291E-7	6.872169549945285E-7	-147182.23959833384	0.0	-803.4940689878918
46000	-148009.87360487384	-815.5742286325506	-147194.29937624128	1375.8858719466136	644.1141280533864	11998.389975176306	1275.9694543817188	7.305804171455791	7.730638982271483E-7	7.730638982271485E-7	-147194.29937624128	0.0	-804.9792258018083
