# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Nov 21 14:03:43 EST 2020 [seed=1605985363100]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-295898.08626804076	-539.6631044449576	-295358.4231635958	100.48910779961874	1919.5108922003812	949.1628232778521	78.77158415115699	10.0	1.0E-8	1.0000000000000002E-8	-295358.4231635958	0.0	-531.3089319969972
1000	-269874.21977161133	-858.7066672730946	-269015.51310433826	365.9521221803693	1654.0478778196307	4121.239852615167	247.05518568510362	9.665704859385805	4.413828366825764E-8	4.41382836682577E-8	-269015.51310433826	0.0	-849.271411621342
2000	-245435.74613612817	-1018.0530628664217	-244417.69307326176	3608.4080969518163	-1588.4080969518163	28122.76180846393	2238.8920566104503	9.82892207504335	1.0331494363653095E-7	1.0331494363653098E-7	-244417.69307326176	0.0	-1006.3832521746339
3000	-228969.2688669801	-1104.6506942878657	-227864.61817269222	39798.87834122805	-37778.87834122805	167711.43380388513	18446.63365137711	9.82892207504335	1.623034484129991E-7	1.6230344841299906E-7	-227864.61817269222	0.0	-1090.871982767089
4000	-221722.65452734672	-1083.51611851293	-220639.1384088338	20698.423738396745	-18678.423738396745	132886.49174279723	17989.502460038657	9.580982353739074	7.404846974695308E-7	7.404846974695308E-7	-220639.1384088338	0.0	-1069.808857177578
5000	-221013.22621764525	-1051.8922130145859	-219961.33400463065	10413.07529742064	-8393.07529742064	86327.98507947294	11810.901148913319	9.580982353739074	1.1497214796850123E-6	1.1497214796850123E-6	-219961.33400463065	0.0	-1038.6057167299175
6000	-220746.5450965605	-909.95094919684	-219836.59414736365	2553.180605750899	-533.1806057508988	22403.576490239386	3410.944045943069	9.605118758601158	4.118830496374444E-6	4.1188304963744436E-6	-219836.59414736365	0.0	-897.9019371439255
7000	-220616.2317984443	-893.0058145634641	-219723.22598388084	2081.124666360469	-61.12466636046884	18767.678978445896	2700.706975093323	9.855622443724736	4.877863652409857E-6	4.877863652409859E-6	-219723.22598388084	0.0	-881.1435198584769
8000	-220515.72994942722	-888.2061942924881	-219627.52375513472	1849.1644056192354	170.83559438076463	17550.62702132055	2537.5381418348566	9.855622443724736	5.358848346875237E-6	5.358848346875235E-6	-219627.52375513472	0.0	-876.406218312359
9000	-220366.77559852533	-861.371491855859	-219505.40410666948	1485.2099790548314	534.7900209451686	13528.14331519892	1949.6255667647672	9.290800174442587	6.618849025557817E-6	6.618849025557814E-6	-219505.40410666948	0.0	-849.9416253203543
10000	-220312.66158031853	-853.4215229569909	-219459.24005736155	1361.4050216376077	658.5949783623923	12530.134346999735	1860.820911890517	9.839549839492516	7.438579638338149E-6	7.438579638338151E-6	-219459.24005736155	0.0	-841.9346982631688
11000	-220304.8087374667	-853.6079152084135	-219451.20082225828	1363.8476374114841	656.1523625885159	12484.874317747875	1990.5665097649273	9.87280198176852	7.430892059848031E-6	7.430892059848031E-6	-219451.20082225828	0.0	-842.0475339963873
12000	-220281.6787621247	-855.9015882556581	-219425.77717386905	1331.1704838831904	688.8295161168096	12524.92783140779	2021.6015294406827	9.743132834180809	7.519396726863584E-6	7.519396726863581E-6	-219425.77717386905	0.0	-844.3498146723796
13000	-220228.32323564988	-853.4232440071629	-219374.8999916427	1207.11694128586	812.8830587141399	11923.416400189015	1668.37139331124	9.965691671061457	8.103132500436948E-6	8.10313250043695E-6	-219374.8999916427	0.0	-842.022310573528
14000	-220178.3230972134	-839.8692981462495	-219338.45379906715	1034.3675887089382	985.6324112910618	10515.690554663463	1459.6061179104502	9.328912159894951	8.726328102126142E-6	8.726328102126144E-6	-219338.45379906715	0.0	-828.7215811013666
15000	-220031.09191307114	-801.8516063134886	-219229.24030675765	786.6083379952017	1233.3916620047983	7557.286688636118	1311.9867813264377	9.328912159894951	1.2017858493245733E-5	1.2017858493245738E-5	-219229.24030675765	0.0	-790.810509978882
16000	-219948.22417688376	-789.8006802461117	-219158.42349663764	703.8540241311736	1316.1459758688266	6810.909213176805	1060.5797118546968	9.774868503917967	1.35464764316879E-5	1.3546476431687905E-5	-219158.42349663764	0.0	-778.8880628508947
17000	-219893.7031786088	-777.6751110279548	-219116.02806758083	622.5757061403963	1397.4242938596037	6091.780765661754	688.472689206337	9.475954657341244	1.588268632866113E-5	1.588268632866113E-5	-219116.02806758083	0.0	-767.2507734141304
18000	-219842.6772008187	-764.2879951174476	-219078.38920570124	580.7303339531932	1439.2696660468068	5554.147046041169	757.8371359543264	9.475954657341244	1.725260174560596E-5	1.7252601745605967E-5	-219078.38920570124	0.0	-753.7676632816585
19000	-219825.06861454883	-760.8238706463898	-219064.24474390244	559.9427674126038	1460.0572325873964	5393.7144104992985	718.4801075605975	9.427902843977723	1.7739609981210495E-5	1.77396099812105E-5	-219064.24474390244	0.0	-750.3660073721031
20000	-219755.94265973673	-743.903666926987	-219012.03899280974	496.62374880067875	1523.3762511993214	4720.789386701475	643.9069440182233	9.750964593946815	1.987917469292192E-5	1.987917469292193E-5	-219012.03899280974	0.0	-733.4945119103306
21000	-219718.97084122736	-730.1558168353247	-218988.81502439204	449.6416604287972	1570.3583395712028	4170.5187901346435	555.9220147779921	9.622581105888111	2.1918977008126856E-5	2.191897700812685E-5	-218988.81502439204	0.0	-719.9176185133934
22000	-219703.84685032855	-731.1643586066047	-218972.68249172196	435.22584742569427	1584.7741525743058	4185.654655765252	473.90298676542596	9.579164015441902	2.2424217810134767E-5	2.242421781013476E-5	-218972.68249172196	0.0	-721.0939594502348
23000	-219696.52081494316	-729.2455945175257	-218967.27522042562	432.66916659294117	1587.330833407059	4158.654419237553	535.6320492338607	9.489861375667282	2.2873162614842567E-5	2.287316261484258E-5	-218967.27522042562	0.0	-719.0696388845713
24000	-219630.3619862304	-717.8403553561756	-218912.52163087422	404.56467077620374	1615.4353292237963	3780.9018650479024	479.4907809024604	10.137349449382858	2.5275007067547307E-5	2.5275007067547286E-5	-218912.52163087422	0.0	-707.654911999069
25000	-219619.9810946595	-716.8216714520219	-218903.1594232075	386.9447953641235	1633.0552046358766	3732.6059684302954	441.1381171505806	10.019344751011662	2.5275007067547307E-5	2.5275007067547324E-5	-218903.1594232075	0.0	-706.7411231188757
26000	-219568.05456390663	-706.3036968099327	-218861.7508670967	377.51879605682876	1642.4812039431713	3505.1976495068984	396.92583896120186	9.89328183607313	2.6598247800414552E-5	2.6598247800414576E-5	-218861.7508670967	0.0	-696.3519373897996
27000	-219553.9720207118	-706.0282489505851	-218847.94377176123	361.5410390035673	1658.4589609964328	3461.1035818508976	402.3451759004356	9.304451042692271	2.6905522011619797E-5	2.69055220116198E-5	-218847.94377176123	0.0	-696.1738206187854
28000	-219518.36953830742	-705.147481684713	-218813.2220566227	360.27468628035894	1659.725313719641	3422.1382253812926	429.3208422854536	9.691540525319269	2.6984550674537197E-5	2.6984550674537207E-5	-218813.2220566227	0.0	-695.1547674363874
29000	-219467.46676674145	-697.2293404911169	-218770.23742625033	337.73066585670955	1682.2693341432905	3202.8977149461493	380.50851673808063	10.021510518157859	2.9333945488947672E-5	2.933394548894769E-5	-218770.23742625033	0.0	-687.2962409566372
30000	-219442.4131658982	-694.3590825645317	-218748.05408333367	320.4917027258702	1699.5082972741297	3079.3892457523593	318.17609393420344	9.829517034619782	3.0780207190699574E-5	3.0780207190699595E-5	-218748.05408333367	0.0	-684.6402622934993
31000	-219415.08297570486	-688.9682565889877	-218726.11471911587	308.2413902800158	1711.7586097199842	2961.667712936989	317.97702788629954	9.360585867664076	3.157407293462631E-5	3.1574072934626335E-5	-218726.11471911587	0.0	-679.3383913514367
32000	-219397.76537425863	-688.9002121421786	-218708.86516211645	307.3195603147856	1712.6804396852144	2938.589382915483	342.80520225015914	9.399507629789944	3.1596971363594E-5	3.159697136359402E-5	-218708.86516211645	0.0	-679.1877250122653
33000	-219370.42298570584	-680.583913477359	-218689.83907222847	296.3317440337784	1723.6682559662215	2771.4265428509884	327.49034590425	9.943231873726926	3.4189529972460855E-5	3.418952997246085E-5	-218689.83907222847	0.0	-670.815229197706
34000	-219345.89554768772	-681.0649974894454	-218664.83055019827	294.60081894035585	1725.3991810596442	2748.0369051114635	307.8869893374064	9.943231873726926	3.4035831424071994E-5	3.403583142407197E-5	-218664.83055019827	0.0	-671.3580391420697
35000	-219340.46872436116	-679.0194838249502	-218661.4492405362	283.47134712286174	1736.5286528771383	2708.436041852335	324.8467873980224	9.773610335858638	3.4035831424071994E-5	3.4035831424071994E-5	-218661.4492405362	0.0	-669.290297380239
36000	-219314.1559424751	-678.802100020978	-218635.35384245412	279.5331194200395	1740.4668805799606	2681.2276698685537	291.03324822685016	9.773610335858638	3.541397836273461E-5	3.5413978362734606E-5	-218635.35384245412	0.0	-669.1828283301841
37000	-219317.37710449312	-676.9223345081646	-218640.45476998496	267.6164558996091	1752.383544100391	2637.9723926933793	336.2893983523115	9.773610335858638	3.514758824858798E-5	3.5147588248588004E-5	-218640.45476998496	0.0	-667.1585285056076
38000	-219291.2322230571	-673.1000830320946	-218618.132140025	264.8323017934106	1755.1676982065894	2561.2925354392232	303.1949098243526	9.773610335858638	3.7492317868796205E-5	3.7492317868796185E-5	-218618.132140025	0.0	-663.4398709132322
39000	-219274.5259796789	-670.5204112317588	-218604.00556844714	260.33209577024513	1759.6679042297549	2515.783244444195	288.0308292038403	9.773610335858638	3.7492317868796205E-5	3.749231786879621E-5	-218604.00556844714	0.0	-660.9115074580917
40000	-219266.86545884135	-671.0306658337244	-218595.8347930076	260.4357657138635	1759.5642342861365	2506.5652935521603	320.11569735942663	9.181421814205216	3.736540859341084E-5	3.7365408593410854E-5	-218595.8347930076	0.0	-661.428591520052
