# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Nov 18 15:45:16 EST 2020 [seed=1605732214712]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-3371.66645766033	-466.2818441188249	-2905.384613541505	98.27923282916525	1921.7207671708347	614.4047310374418	38.30053142578753	10.0	1.0E-8	1.0000000000000002E-8	-2905.384613541505	0.0	-458.6487602240378
1000	-3207.5508751880443	-487.082385431851	-2720.4684897561933	302.79111036362036	1717.2088896363796	1061.629684060941	44.418202411694125	8.087549613659741	9.385661668580502E-8	9.385661668580504E-8	-2720.4684897561933	0.0	-479.67590880125226
2000	-3073.84890206037	-522.7133022169949	-2551.1355998433755	1167.2491714889518	852.7508285110482	2909.6722430132654	68.5803662816846	11.069426614687227	5.923262623040655E-7	5.923262623040655E-7	-2551.1355998433755	0.0	-514.308069187008
3000	-2853.4741313410564	-518.1185490303743	-2335.355582310682	577.1579755138682	1442.8420244861318	1783.0860661364266	56.579355413177105	7.622946054095082	1.994482514255784E-5	1.994482514255784E-5	-2335.355582310682	0.0	-510.5693848843018
4000	-2832.173522868658	-518.3734711666202	-2313.8000517020378	279.84434184275756	1740.1556581572424	1176.9577039895776	62.808441271047414	10.563214503567432	4.956108655909417E-5	4.956108655909414E-5	-2313.8000517020378	0.0	-510.1442807110352
5000	-2820.0161948152395	-511.46808280978155	-2308.548112005458	126.03775831413206	1893.9622416858679	870.0566918759159	58.753668038293526	14.094838799135832	7.357152047773877E-5	7.357152047773871E-5	-2308.548112005458	0.0	-502.73998528446714
6000	-2812.208372500302	-507.34227285463993	-2304.8660996456624	110.7212077952232	1909.278792204777	794.4972805612393	59.26362448155174	11.647551632974437	7.907235973824942E-5	7.90723597382494E-5	-2304.8660996456624	0.0	-498.9854826014845
7000	-2818.2093631823477	-511.14057321134044	-2307.0687899710074	132.55880186516328	1887.4411981348367	857.5713387456308	61.11204667273949	12.754319911668327	7.210904258203403E-5	7.210904258203403E-5	-2307.0687899710074	0.0	-502.5751314482946
8000	-2807.8853660753884	-502.3948225405388	-2305.4905435348496	93.65244459607118	1926.3475554039287	766.9197282135035	51.2326780716292	9.225463811329465	7.011255348348735E-5	7.011255348348735E-5	-2305.4905435348496	0.0	-494.61649986871845
9000	-2820.370494945778	-510.3597092341235	-2310.0107857116545	115.20915278647237	1904.7908472135277	804.4815405928812	58.24240680036068	13.200110345957475	7.136032372201041E-5	7.136032372201046E-5	-2310.0107857116545	0.0	-501.7736411441463
10000	-2821.42058473425	-512.9498595770859	-2308.470725157164	141.02899202456973	1878.9710079754302	851.9123989557496	66.76079112506443	9.401989308167417	6.239026806611187E-5	6.239026806611189E-5	-2308.470725157164	0.0	-504.8729144462237
11000	-2806.1713039367787	-510.80061514097645	-2295.3706887958024	139.58192745552012	1880.4180725444799	849.4212749236362	61.06049729933052	11.35791564209191	7.288718385180032E-5	7.288718385180029E-5	-2295.3706887958024	0.0	-502.46238999147886
12000	-2801.24771064232	-495.3004664511196	-2305.9472441912003	105.76047600689614	1914.2395239931038	758.40374291007	50.3676309031536	6.0831643117924825	8.751242149591297E-5	8.751242149591299E-5	-2305.9472441912003	0.0	-488.22578455119395
13000	-2803.4120929751407	-497.17679464268724	-2306.2352983324536	116.46473633656413	1903.535263663436	759.7231616926395	42.890155608339136	8.016700344097991	1.0219548321948348E-4	1.0219548321948342E-4	-2306.2352983324536	0.0	-489.8201369818534
14000	-2800.4507530172336	-485.198881786284	-2315.2518712309497	94.0529512999818	1925.9470487000183	687.5394533873508	43.61586347637596	10.674600207081648	9.099383461975593E-5	9.099383461975596E-5	-2315.2518712309497	0.0	-477.31468134021486
15000	-2793.5518681172766	-491.8154158103346	-2301.736452306942	87.14951977708196	1932.8504802229181	681.8484595836885	46.48272599634214	7.832879618723936	8.647606830574481E-5	8.647606830574487E-5	-2301.736452306942	0.0	-484.4174161737848
16000	-2799.066458947947	-492.7685608511666	-2306.2978980967805	89.99219844088721	1930.0078015591127	676.1907062332554	46.69252339974182	14.532186226380983	7.34624572900541E-5	7.346245729005411E-5	-2306.2978980967805	0.0	-484.20719044850466
17000	-2808.986626894905	-494.4058562538815	-2314.5807706410233	95.94312012829667	1924.0568798717034	712.7102927504924	53.538485830503284	13.718919350798869	7.767406093155643E-5	7.767406093155639E-5	-2314.5807706410233	0.0	-485.8259805983627
18000	-2791.2221055137798	-484.0450944913021	-2307.1770110224775	101.55351326435036	1918.4464867356496	684.7252323734648	46.66939100126249	14.857214704934627	9.615899319491343E-5	9.615899319491349E-5	-2307.1770110224775	0.0	-475.438189099517
19000	-2795.0129995218244	-479.5156043286479	-2315.4973951931765	78.68531760619587	1941.314682393804	617.3098000730675	45.722700107414795	14.121867081493853	1.0732336220760923E-4	1.073233622076092E-4	-2315.4973951931765	0.0	-471.03429689397575
20000	-2802.088663770332	-497.77276377077527	-2304.3158999995567	71.7756905954551	1948.2243094045448	646.3620939879523	52.72586559125456	17.243987397363313	8.374105330839379E-5	8.37410533083938E-5	-2304.3158999995567	0.0	-488.72582940221804
21000	-2810.272228595255	-488.95962523162393	-2321.312603363631	90.91557436721259	1929.0844256327873	666.0780931399088	46.36863343658195	16.35511614661652	9.038781485187199E-5	9.038781485187196E-5	-2321.312603363631	0.0	-480.15576827409245
22000	-2811.279960442606	-502.6651832812963	-2308.6147771613096	107.80183353414728	1912.1981664658526	737.9722575899145	51.9474047299605	14.382729339538525	8.34121003923609E-5	8.341210039236083E-5	-2308.6147771613096	0.0	-494.0185499707878
23000	-2805.75762018612	-501.511211464332	-2304.246408721788	126.85587560505627	1893.1441243949437	785.092889650696	52.8306036682854	9.268743104579968	9.035374785594497E-5	9.0353747855945E-5	-2304.246408721788	0.0	-493.6938078746724
24000	-2798.546131471057	-491.17670954696257	-2307.3694219240942	97.88706556599342	1922.1129344340065	668.7286465033196	61.83742274725645	10.43000110234155	9.474470498845615E-5	9.47447049884562E-5	-2307.3694219240942	0.0	-482.9867195529507
25000	-2800.500120575602	-489.06586277508893	-2311.434257800513	82.79031864505173	1937.2096813549483	644.1305693503388	42.84217982519577	11.728900309988235	8.603015157354599E-5	8.603015157354599E-5	-2311.434257800513	0.0	-481.02008123208543
26000	-2788.0453246524303	-481.25743951431815	-2306.787885138112	98.0011265490156	1921.9988734509843	644.4947107760524	46.043143507138204	8.231548968881468	9.476147883643144E-5	9.476147883643143E-5	-2306.787885138112	0.0	-473.7848754120911
27000	-2793.9422005337246	-485.10813984197125	-2308.8340606917536	147.12793888014733	1872.8720611198528	743.3049371863082	45.3706881244158	18.68036490205134	8.176678743276646E-5	8.176678743276644E-5	-2308.8340606917536	0.0	-476.0347881108739
28000	-2789.8285903847327	-480.5814094683691	-2309.2471809163635	104.12446118232097	1915.875538817679	648.1339197870656	39.306634883060056	15.75010238750828	1.0920241422577426E-4	1.0920241422577436E-4	-2309.2471809163635	0.0	-472.0232944927908
29000	-2792.614547591157	-480.8053507508801	-2311.809196840277	73.61001277904279	1946.3899872209572	615.5363842745624	43.30449167892677	16.32107576636222	8.6718512428131E-5	8.671851242813097E-5	-2311.809196840277	0.0	-472.0743393455488
30000	-2791.397354750701	-488.01918916623947	-2303.378165584462	86.15964060046298	1933.840359399537	665.2244023230218	41.91774237689711	9.964531014707024	9.2263434433635E-5	9.2263434433635E-5	-2303.378165584462	0.0	-480.3022789141107
