# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Nov 16 13:40:13 EST 2020 [seed=1605551987791]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-139090.82381390178	-99.05723597998256	-138991.7665779218	101.83133154513375	1918.1686684548663	381.02533078086464	41.07796953398647	10.0	1.0E-8	1.0000000000000002E-8	-138991.7665779218	0.0	-91.35414389991209
1000	-138995.01502976814	-117.74800143504642	-138877.2670283331	114.59790732876775	1905.4020926712324	664.4825999566767	86.27505468390696	10.39919304961651	1.2120452541334793E-7	1.2120452541334793E-7	-138877.2670283331	0.0	-109.23057544460337
2000	-138968.35003826823	-124.79813690905239	-138843.55190135917	159.01677797666088	1860.983222023339	916.5112858652623	196.5617750142439	3.7818926282871494	2.760813991920844E-7	2.760813991920844E-7	-138843.55190135917	0.0	-117.0099577628871
3000	-138964.10968970452	-126.16678810260336	-138837.94290160193	152.30541807347925	1867.6945819265206	910.6798335837034	212.21888346066333	6.073495923229436	4.5783569835019004E-7	4.5783569835018993E-7	-138837.94290160193	0.0	-117.65633362231164
4000	-138950.79277705614	-116.20428890049146	-138834.58848815566	150.58732768490484	1869.4126723150953	701.9935634298025	140.69548854578161	5.939808464066143	7.385190576809087E-7	7.385190576809087E-7	-138834.58848815566	0.0	-108.13840528826194
5000	-138953.45268283118	-117.28238456718725	-138836.17029826398	203.36826021577406	1816.6317397842258	835.9798195631474	116.691300406377	5.352060206008906	4.4273293045451124E-7	4.4273293045451114E-7	-138836.17029826398	0.0	-109.55641446831582
6000	-138953.61119629734	-117.13416142701975	-138836.47703487033	257.6607277185638	1762.3392722814363	921.4818911000043	127.98844893079448	5.834711659284349	4.808715905120815E-7	4.808715905120814E-7	-138836.47703487033	0.0	-109.18961690782476
7000	-138954.33452024616	-112.45605785058302	-138841.87846239557	167.93617466867877	1852.0638253313211	670.9303251473359	94.48296941999031	6.685342407543526	7.741729287900135E-7	7.741729287900136E-7	-138841.87846239557	0.0	-104.60648552030854
8000	-138951.79239238403	-114.62312764059483	-138837.16926474342	141.23821102144535	1878.7617889785547	639.4532563343224	107.40879931064468	6.5437697638751215	5.687170933989408E-7	5.687170933989408E-7	-138837.16926474342	0.0	-106.6789179994609
9000	-138952.97061028215	-113.17744821407041	-138839.7931620681	108.39787863208238	1911.6021213679176	552.0313036365691	95.08367145309893	5.9852115318202985	7.566713404395323E-7	7.566713404395323E-7	-138839.7931620681	0.0	-105.49196239973644
10000	-138951.5547638417	-113.25353904601441	-138838.3012247957	98.32811438150564	1921.6718856184943	520.6240346775472	68.5409516774076	5.6922971049282785	7.579576082431382E-7	7.579576082431381E-7	-138838.3012247957	0.0	-105.97009834355309
11000	-138936.4769965089	-99.31885400332288	-138837.15814250556	85.11706224259282	1934.8829377574073	364.5587907988697	42.44534675633159	5.19708583285007	1.11706119792925E-6	1.11706119792925E-6	-138837.15814250556	0.0	-92.64604551321345
12000	-138943.74596057905	-102.17019326117354	-138841.57576731787	134.2065729344467	1885.7934270655533	468.6627470644139	52.95656531668409	4.308532740782479	1.0831687119584129E-6	1.0831687119584129E-6	-138841.57576731787	0.0	-95.53015263034831
13000	-138936.76441772978	-98.29330955345146	-138838.47110817634	72.45985945639532	1947.5401405436046	327.10897802849604	40.50809629854168	5.637572866035717	1.2978859913278174E-6	1.2978859913278176E-6	-138838.47110817634	0.0	-91.5499978468676
14000	-138939.32537502053	-100.114575133266	-138839.21079988728	67.66130997463637	1952.3386900253636	327.8486398711483	49.92922609394421	9.636888837072954	1.0521004011654407E-6	1.052100401165441E-6	-138839.21079988728	0.0	-92.2837306344095
15000	-138935.78605355852	-93.75568399630424	-138842.0303695622	41.60976771508279	1978.3902322849171	230.75992545068365	34.72066641186011	10.4167090642958	2.198088036532375E-6	2.1980880365323746E-6	-138842.0303695622	0.0	-86.14533234017702
16000	-138938.51454744244	-94.63839479850677	-138843.87615264393	42.579989361535254	1977.4200106384646	231.87714146940223	55.59571638242921	4.2196161220369675	1.976059139371629E-6	1.9760591393716295E-6	-138843.87615264393	0.0	-87.97658044983648
17000	-138937.39211756908	-94.29826076659161	-138843.09385680247	44.17330793542228	1975.8266920645776	224.94573796936487	21.962363987020716	4.436644557066434	1.5994345815496944E-6	1.5994345815496946E-6	-138843.09385680247	0.0	-88.50014833265277
18000	-138937.0219878937	-93.09272665625492	-138843.92926123744	54.85291925226974	1965.1470807477303	257.92844712066255	39.09389984558473	5.430496760898127	1.6080113950781755E-6	1.6080113950781757E-6	-138843.92926123744	0.0	-86.43939587006206
19000	-138935.05497243823	-95.68467683994704	-138839.3702955983	63.75242446599073	1956.2475755340092	278.6941280824441	30.561518394549744	5.8044351349669645	1.2947971746759416E-6	1.2947971746759416E-6	-138839.3702955983	0.0	-89.18006701217178
20000	-138939.36468326542	-96.75774548806446	-138842.60693777737	63.15140058447802	1956.848599415522	310.44697823555157	40.033087493120206	5.76942745912186	1.4805457463271377E-6	1.4805457463271377E-6	-138842.60693777737	0.0	-89.99214568958917
21000	-138937.4700334923	-97.05760116047665	-138840.41243233182	62.98400463751923	1957.0159953624807	308.7179185272234	42.31665489032198	4.735326636476984	1.1956336614625635E-6	1.1956336614625637E-6	-138840.41243233182	0.0	-90.51670041926818
22000	-138938.3431285731	-100.93775044037523	-138837.4053781327	76.15757782295086	1943.8424221770492	356.36664331722244	57.99686085227677	7.1449648696911305	1.0474039959936185E-6	1.0474039959936187E-6	-138837.4053781327	0.0	-93.4700083780063
23000	-138933.5009026206	-99.8168605986815	-138833.68404202192	80.6798016485316	1939.3201983514684	353.3987097886272	45.39372510041197	8.38271293419706	1.3047244083184357E-6	1.304724408318436E-6	-138833.68404202192	0.0	-92.32738773416506
24000	-138942.5380313874	-102.82759178039576	-138839.710439607	91.15463507036823	1928.8453649296318	405.05398433007963	47.79141123645855	4.821563470556932	7.623709447172959E-7	7.62370944717296E-7	-138839.710439607	0.0	-96.14046343223808
25000	-138941.9609040079	-102.433943834205	-138839.52696017368	87.30071085789749	1932.6992891421025	387.69318932928877	53.459722755012	4.672006948705541	1.107148821920884E-6	1.1071488219208842E-6	-138839.52696017368	0.0	-95.67748151126305
26000	-138941.28228973967	-101.51276368692145	-138839.76952605275	107.13826853322324	1912.8617314667767	438.3847594151721	51.01530353866673	5.665030305609224	8.685799867723317E-7	8.685799867723318E-7	-138839.76952605275	0.0	-94.53169420165517
27000	-138929.87872314383	-94.33470602138613	-138835.54401712245	79.78277357372804	1940.217226426272	317.4743877797462	34.6940859361581	4.782221555818201	1.391166769173986E-6	1.3911667691739865E-6	-138835.54401712245	0.0	-87.97903038532797
28000	-138941.153462436	-100.28729286458629	-138840.8661695714	73.51164267259622	1946.4883573274037	333.08244145840854	37.55242458659268	4.6183313622064475	9.271277545734959E-7	9.271277545734954E-7	-138840.8661695714	0.0	-93.89953909346806
29000	-138940.8897927323	-101.26688824654839	-138839.62290448576	90.80397866324559	1929.1960213367545	390.1770102079867	58.567279916389744	3.149634660367721	1.3540847507472805E-6	1.3540847507472802E-6	-138839.62290448576	0.0	-94.90040030831743
30000	-138939.6439394694	-100.04930529390894	-138839.59463417548	98.24914504142556	1921.7508549585743	411.99333180231605	55.63462804508787	4.321305180446249	9.250520450863572E-7	9.250520450863572E-7	-138839.59463417548	0.0	-93.35609561621261
31000	-138948.2274719703	-110.05394860189725	-138838.1735233684	125.19789090023104	1894.802109099769	550.8814796949576	91.6731498140667	6.4475524911436395	1.0468324339774698E-6	1.0468324339774702E-6	-138838.1735233684	0.0	-102.2912221462537
32000	-138948.30608037658	-113.26417865879586	-138835.04190171778	143.22859746115125	1876.7714025388486	604.3376989905595	128.91122250285304	6.658306778494038	6.847619825679865E-7	6.847619825679865E-7	-138835.04190171778	0.0	-105.11028287038884
33000	-138946.16098231167	-110.63513918497175	-138835.5258431267	122.07250461164516	1897.9274953883548	566.6076785597863	64.91490116511679	7.119918081751415	8.56440168052589E-7	8.564401680525889E-7	-138835.5258431267	0.0	-103.06038870299551
34000	-138947.4408484068	-104.465289521121	-138842.9755588857	138.90007792477087	1881.0999220752292	505.8641605071486	65.28091437405918	10.220213879050583	1.23052122996591E-6	1.2305212299659097E-6	-138842.9755588857	0.0	-96.25887519827377
35000	-138948.68707341747	-108.00654574703556	-138840.68052767043	136.53149233763045	1883.4685076623696	531.1304284531782	63.99835350533649	7.697367855894894	6.015912978642409E-7	6.015912978642409E-7	-138840.68052767043	0.0	-100.31803033857277
36000	-138940.79388448715	-106.5460425742145	-138834.24784191293	124.98568422459424	1895.0143157754057	512.1532197010337	69.94880489443533	6.1788306150677705	7.494769445291602E-7	7.494769445291602E-7	-138834.24784191293	0.0	-99.11930616742029
