# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 10 19:11:29 EST 2020 [seed=1605053474272]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2772.745024379907	-105.4751098091469	-2667.26991457076	100.11674965729057	1919.8832503427095	442.51541068597004	63.517186220082635	10.0	1.0E-8	9.999999999999999E-9	-2667.26991457076	0.0	-97.33617916738214
1000	-2621.8585499473347	-115.76851017299747	-2506.090039774337	105.84971475948068	1914.1502852405192	600.3927709244423	109.49439233126775	9.65974958460288	1.1262631010697651E-7	1.1262631010697648E-7	-2506.090039774337	0.0	-107.14810942602365
2000	-2446.3269340234024	-127.94640118485813	-2318.3805328385442	144.75845284406986	1875.2415471559302	960.9634696152996	173.54173027470708	7.53661352516361	1.396413527766516E-6	1.396413527766516E-6	-2318.3805328385442	0.0	-119.29534687061373
3000	-2274.297839690004	-126.54276941481027	-2147.7550702751937	163.5846248928259	1856.415375107174	925.0787049389689	185.24319480064747	6.243496253819138	4.966279316968148E-5	4.966279316968149E-5	-2147.7550702751937	0.0	-118.12616083808223
4000	-2274.6424975080204	-124.9079240072619	-2149.7345735007584	142.22449459734807	1877.775505402652	789.2976363474721	235.92274692799967	8.28254535510652	7.864421995989354E-5	7.864421995989351E-5	-2149.7345735007584	0.0	-115.79088263205857
5000	-2266.4620899899123	-118.79640828961993	-2147.665681700292	143.87091397760847	1876.1290860223914	710.8119860966065	107.9558945937993	9.863560177660831	7.812426678280097E-5	7.812426678280096E-5	-2147.665681700292	0.0	-110.15211749030836
6000	-2266.42815923316	-117.8718535442274	-2148.5563056889323	152.25155103343866	1867.7484489665612	738.6844413262447	108.14458621652682	7.367488668661281	8.248050555580671E-5	8.248050555580673E-5	-2148.5563056889323	0.0	-109.7310110398244
7000	-2268.08959563701	-117.43150022090506	-2150.658095416105	131.23210959136028	1888.7678904086397	671.8365725172683	119.15067014740136	7.929923210806128	7.541624283498835E-5	7.541624283498831E-5	-2150.658095416105	0.0	-109.0715018399425
8000	-2264.65522245871	-116.34842993723322	-2148.306792521477	177.38024464305093	1842.619755356949	731.8092494874945	141.43263451338987	6.587946273335667	7.853463718098486E-5	7.853463718098489E-5	-2148.306792521477	0.0	-108.11843524524224
9000	-2260.4573246108184	-111.94759782954257	-2148.5097267812757	98.67405112827413	1921.3259488717258	520.6091426553655	86.13659580957061	6.206724755365607	9.486726105818661E-5	9.486726105818661E-5	-2148.5097267812757	0.0	-104.30571864292452
10000	-2249.920706376505	-101.92885903999924	-2147.991847336506	102.1545540983138	1917.8454459016862	423.60068698034786	57.38480695020335	5.371299769055664	1.274602441245557E-4	1.2746024412455567E-4	-2147.991847336506	0.0	-94.90736599601729
11000	-2254.9306542479558	-102.52946162198062	-2152.401192625975	73.95226455393413	1946.0477354460659	368.84936556596045	45.86562227764179	8.00869158788236	1.3846339697211446E-4	1.3846339697211443E-4	-2152.401192625975	0.0	-95.10738517902556
12000	-2255.2605281930814	-104.97891791978127	-2150.2816102733	97.23928406064172	1922.7607159393583	473.77511707046625	59.94487265578944	4.19774934091621	9.577678948735335E-5	9.577678948735334E-5	-2150.2816102733	0.0	-98.24833982667917
13000	-2257.455964932482	-103.98447348820446	-2153.4714914442775	107.605471050732	1912.394528949268	463.2356581263354	71.84983852167883	5.753844963396927	9.633845551003278E-5	9.63384555100328E-5	-2153.4714914442775	0.0	-96.63791158007407
14000	-2247.3749737686385	-96.46162963286099	-2150.9133441357776	68.06378057879549	1951.9362194212044	304.80863648645715	41.124774927387804	13.188175656935423	1.9013284533783275E-4	1.9013284533783272E-4	-2150.9133441357776	0.0	-88.22526485126372
15000	-2252.7301216051947	-105.09177194965044	-2147.638349655544	74.48054397132312	1945.5194560286768	368.85522388739747	57.15816973709635	12.937624536736818	1.2537059504010204E-4	1.2537059504010207E-4	-2147.638349655544	0.0	-96.5647109852382
16000	-2258.380799344733	-105.2389652175755	-2153.1418341271574	84.77532529519625	1935.2246747048036	384.84772051993605	73.54922857094455	13.469630823450059	1.9617681472773095E-4	1.9617681472773103E-4	-2153.1418341271574	0.0	-96.37864626902825
17000	-2254.722754523822	-104.10295617514001	-2150.619798348682	84.9083541790287	1935.0916458209713	411.1927954864102	65.07205437277831	9.39909365930275	1.3562475820743676E-4	1.3562475820743682E-4	-2150.619798348682	0.0	-96.05211120794046
18000	-2250.43960332331	-102.04612216948037	-2148.3934811538297	85.52152438090816	1934.4784756190918	399.9738974958943	57.985399964628485	6.8293135917705055	1.5242040986446684E-4	1.524204098644669E-4	-2148.3934811538297	0.0	-94.65090297035272
19000	-2249.7852956702923	-103.40267570407339	-2146.382619966219	76.06017030376866	1943.9398296962313	380.751936550907	51.88917078955299	6.487163372594836	1.375254684818607E-4	1.3752546848186072E-4	-2146.382619966219	0.0	-96.19940985307612
20000	-2247.3335419341674	-99.94377349936644	-2147.389768434801	82.86902653559392	1937.130973464406	364.43817706303423	41.03033638080407	8.491030504670702	1.2678705912693436E-4	1.2678705912693434E-4	-2147.389768434801	0.0	-92.53309227084186
21000	-2242.844640704487	-95.03468681771605	-2147.809953886771	80.44015423171987	1939.5598457682802	317.52038722660905	45.21730126182833	11.1517844997917	1.5190891534693114E-4	1.5190891534693117E-4	-2147.809953886771	0.0	-87.03173727495505
22000	-2246.193940573379	-98.57979873832994	-2147.6141418350494	78.48119710337265	1941.5188028966274	356.1567685911325	39.63554121402784	6.995257447123958	1.2674543590200817E-4	1.2674543590200814E-4	-2147.6141418350494	0.0	-91.52672269534175
23000	-2255.1677072758234	-108.28695101862778	-2146.8807562571956	93.16959213650794	1926.8304078634922	458.2270626491408	71.63857623033162	7.044907992663005	1.0173178362284311E-4	1.0173178362284311E-4	-2146.8807562571956	0.0	-100.6306252217953
24000	-2255.283967376461	-107.2784549382974	-2148.005512438164	87.00017438180417	1932.999825618196	444.87906658441426	63.27288608884958	5.224212998520356	1.3522006184105254E-4	1.3522006184105254E-4	-2148.005512438164	0.0	-100.19889854603225
25000	-2254.8337357546243	-107.70850232206749	-2147.125233432557	83.58649642808719	1936.4135035719128	420.8787000970456	83.21356192228721	7.990459669101226	1.2022372128718658E-4	1.2022372128718658E-4	-2147.125233432557	0.0	-99.69460318768675
26000	-2251.507560002441	-99.93953890680724	-2151.568021095634	70.73660795352208	1949.263392046478	330.1636726150534	54.622165147679205	4.775286377611875	1.593609839988591E-4	1.593609839988591E-4	-2151.568021095634	0.0	-93.13181004739636
27000	-2246.7995654787956	-98.39058375842802	-2148.4089817203676	74.37298018535706	1945.6270198146428	340.6935727320043	42.67637138355948	4.182080772367203	1.599590322421188E-4	1.5995903224211882E-4	-2148.4089817203676	0.0	-92.00449657324693
28000	-2254.09282093575	-106.99923568774079	-2147.093585248009	105.07236645572023	1914.9276335442798	485.7840471921779	65.32986773183194	6.2367544848314544	8.502070837248974E-5	8.502070837248973E-5	-2147.093585248009	0.0	-99.6264669419973
29000	-2256.1509627037053	-106.1547526546209	-2149.9962100490843	78.36281662410121	1941.6371833758988	405.9094415733332	63.45985588775233	11.140064621855446	1.4866395021565667E-4	1.4866395021565672E-4	-2149.9962100490843	0.0	-97.81487971232218
30000	-2247.5411721078062	-97.5878166950011	-2149.953355412805	86.20859390121595	1933.7914060987841	352.7728233210206	38.22208063704664	3.8299534217488183	1.512802660045243E-4	1.512802660045243E-4	-2149.953355412805	0.0	-91.4217019739003
31000	-2250.193251451736	-103.42337449527189	-2146.7698769564645	73.0072375773533	1946.9927624226466	362.22084346739746	52.10570642364998	7.708303388123442	1.3520574082006567E-4	1.3520574082006562E-4	-2146.7698769564645	0.0	-95.9379413120325
32000	-2260.874309395322	-104.14584264843366	-2156.7284667468884	98.3318443467836	1921.6681556532164	455.3806129250982	53.72032628424481	6.231499417280373	8.956113574043273E-5	8.956113574043279E-5	-2156.7284667468884	0.0	-96.97001798944405
